biographical_information,borough,category,enactment_year,introduced_by_council_members,limits,new_name,present_name,zip_code,objectid,intro_number,notes,paths
"Errol Millard was assigned to the 595th Sapper Company, 2nd Engineer Battalion and 36th Brigade.  He was killed in combat in Afghanistan.  He was posthumously promoted to Private First Class and was awarded the Bronze Star, the Purple Heart and the Good Conduct Medal. ",Brooklyn,Street,1406044800000.0,Williams,Between Beverly Road and Clarendon Road,Private First Class Errol Millard Way,East 51st Street,11203.0,1964.0,Int. No. 388,,"40.64631116900002,-73.92879100699997|40.64460979300004,-73.928597888"
"PFC. James E. Prevete was killed while bravely serving our country in Operation Iraqi Freedom in Habbaniya, Iraq.  Pfc. Prevete was a life-long resident of Whitestone, New York and attended Holy Trinity Elementary School and St. Francis Prep High School where he graduated in June 2000.  PFC Prevete joined the Army in November 2003. ",Queens,Street,1123257600000.0,Avella,Between 147th and 149th Streets,PFC James E. Prevete Avenue,5th Avenue ,11357.0,1965.0,Int. No. 613,,"40.79491822600004,-73.82213392899996|40.795632984000086,-73.81908264799993"
"Alfred Ronaldson was 36 years old when he was killed in the line of duty when a section of floor caved in under him after a fire had been mostly extinguished in a Bronx building.  In his 13-year career, he won six citations for bravery. ",Bronx,Street,1249228800000.0,Foster ,Between East 172nd Street and East 173rd Street ,FF Alfred Ronaldson Place ,Washington Avenue ,10457.0,1966.0,Int. No. 1103-A,,"40.84033933500004,-73.90183373099991|40.84152842700004,-73.90115513199994"
"School Settlement Association, Inc. finds its earliest incarnation in 1898, as a school affiliated organization called the Ridgewood Household Club.  Agnes E. Demonde, a public-school teacher, noted severe deficiencies in her student’s education and found it prudent to offer supplemental education in association with various local institutions of higher learning. 

Founded as School Settlement Association in 1901 and incorporated under that name in 1906, the organization was housed at 148 Jackson Street, just one block away from its present location.  Then in 1914, a generous donation from Ms. Elvia Zabriskio enabled School Settlement to move to a facility built specifically for it at 120 Jackson Street, the site School Settlement inhabits to this day. 

Although the neighborhood has changed during the past century, the situation of educational deficiency Ms. Demonde encountered still exists.  School Settlement has proven itself over the past hundred years to be an asset to the Williamsburg/Greenpoint community by assisting in the education of the community’s youth. 

At present, the programs and services offered to School Settlement’s participants are designed to round out and supplement the education local youth receive in public school.  Homework help, arts and crafts, computer instruction, literacy and structured recreation are only a sample of the programs School Settlement offers.  School Settlement also offers an AIDP program under the CAPS initiative within Automotive High School as well as a teen night program on-site, designed to offer youth an opportunity to feel relaxed, have fun and express themselves in a smoke-free, drug free and violence free environment. 

School Settlement has been in the same community for over a century and in the same location for almost eighty years.  It is difficult to imagine Williamsburg without it. ",Brooklyn,Street,1061568000000.0,Yassky ,Between Manhattan Avenue and Leonard Street    ,School Settlement Way	  	,Jackson Street ,11211.0,1967.0,Int. No. 437-A		,,"40.71634521100003,-73.94802111899999|40.71649158500002,-73.94648689499994"
"Dr. Frank J. Crifasi was co-founder of the Council of Neighborhood Organization and chairman of the Maimonides Medical Center’s Ambulatory Community Board, a member of the Board of Trustees of Maimonides Medical Center and an out-spoken member of Community Board #12.  He had been a resident of the Boro Park community for 60 years.  Dr. Crifasi believed that everyone should have the opportunity to have the highest quality of living conditions possible. 

 ",Brooklyn,Street,1123257600000.0,de Blasio,Between Fort Hamilton Parkway and 11th Avenue ,Dr. Frank J. Crifasi Way ,47th Street  ,11219.0,1968.0,Int. No. 746-A,,"40.63926791600008,-73.99612940599994|40.63886085000009,-73.99544705199995"
"Steven McDonald joined the NYPD in 1984 and in 1986 at the age of 29, with two years on the police force, he was shot by a 15 year-old boy in Central Park and became paralyzed from the neck down.  He forgave his assailant and made many public appearances over the years spreading the message of forgiveness to the public.  The Steven McDonald Extra Effort Award has been presented each NHL season since 1987-88 to the Rangers player who goes above and beyond the normal call of duty.  

 ",Manhattan,Street,1500825600000.0,Rosenthal and Mark-Viverito ,Not Stated,Detective First Grade Steven McDonald ,"at the 86th Street Transverse, Central Park ",10128.0,1969.0,Int. No. 1744,,"40.78527070200003,-73.96917138599999|40.78513463400003,-73.96881733399992|40.78492545400006,-73.96809581999993|40.784812801000044,-73.96780269699993|40.784681748,-73.967548649|40.784413670000006,-73.96710608499994|40.784298193000055,-73.96688223299996|40.784180116000066,-73.96661524099991|40.783897820000085,-73.96572742900001|40.783784001000065,-73.96533484499996|40.783641653000096,-73.96484386399995|40.78359540700004,-73.964684351|40.78349814500006,-73.96438200299993|40.783412168000034,-73.96418759299998|40.78326851300005,-73.96395044099998|40.78314434800008,-73.96379087499996|40.78290469700007,-73.96364067099991|40.78244164100006,-73.96352265399996|40.78228119500005,-73.96346632699995|40.782088254,-73.96336708499997|40.78189328000007,-73.96322224599996|40.78169627600003,-73.96298889400002|40.78148302300008,-73.96266166499994|40.781350010000075,-73.962360912|40.78091637500007,-73.96105233899995"
Dick Ravitch was the former MTA Chairman and served as Lieutenant Governor of New York from 2009 to 2010. He helped save the City’s mass transit system in the 1980’s during an 11-day transit strike and also helped save the City from financial collapse during the 1970’s while he was head of the State’s Urban Development Corporation. He worked for Major League Baseball as its chief labor negotiator.  ,,,,,,,,,,,,
,Manhattan,Street,1719590400000.0,Powers,Between 25th and 28th Street,Dick Ravitch Way,Waterside Plaza,10010.0,1970.0,Int. No. 1278,,"40.736960462000084,-73.97439279799997|40.73902348700004,-73.972974208"
"Raphael Hawaweeny was the first Orthodox bishop consecrated in North America in 1904. He founded The Word, the official news magazine of the Antiochian Archdiocese which is still published monthly today, and informs readers of Orthodox news and also educates and inspires with articles on faith and practice. He traveled throughout the United States and founded thirty parishes in North America. His feast day is celebrated in the Antiochian Archdiocese on the first Saturday of November. He founded a cathedral in Brooklyn’s Little Syria and became St. Raphael of Brooklyn.  ",Brooklyn,Street,1626451200000.0,Levin,Between Hoyt Street and Bond Street ,St. Raphael of Brooklyn Place ,State Street ,11217.0,1971.0,Int. No. 2187,,"40.68840425900005,-73.98651760699991|40.68759275700004,-73.98443889499997"
"Thomas L. Guess was an advocate and leader on issues and services affecting the Bronx community.  He was the founder of The Tremont Community Senior Citizen Center, Inc. which is regarded as one of the most outstanding and progressive senior centers in the City of New York.  He also served on the Self Help Works Federal Credit Union, board of directors for the Washington Avenue Daycare Center and the Bronx Club of the National Association of Negro Business and Professional Women’s Clubs, Inc. ",Bronx,Street,1248969600000.0,Rivera ,Between Oakland Place and East 180th Street ,Thomas L. Guess Place ,Clinton Avenue ,10457.0,1972.0,Int. No. 1033,,"40.846945254000055,-73.88837599799994|40.84752554000008,-73.88787710799994"
